area,trat,REP,COL,S,N,H,UR,T,C3LC,F3LC,NA3,AZ3,,,,
C1a,20,1,A,8,52,1.366,90.3,23.3,7.408611366,12.5594728,15.70081858,84.29918142,,,,
C1a,20,2,A,6,37,1.092,90.3,23.3,7.4086114,12.5594728,15.70081858,84.29918145,,,,
C1a,20,3,A,4,9,1.311,90.3,23.3,7.4086114,12.5594728,15.70081858,84.29918145,,,,
C1a,20,4,A,10,85,1.585,90.3,23.3,7.4086114,12.5594728,15.70081858,84.29918145,,,,
C1b,20,1,B,7,68,1.344,87.4,21.1,13.18300596,30.28568073,30.80243108,69.19756892,,,,
C1b,20,2,B,5,60,0.8222,87.4,21.1,13.183006,30.28568073,30.80243108,69.19756896,,,,
C1b,20,3,B,10,54,1.555,87.4,21.1,13.183006,30.28568073,30.80243108,69.19756896,,,,
C1b,20,4,B,8,45,1.325,87.4,21.1,13.183006,30.28568073,30.80243108,69.19756896,,,,
C1c,20,1,C,6,35,1.206,87.7,22.9,18.88000472,16.36621131,17.60835571,82.38574337,,,,
C1c,20,2,C,4,23,1.095,87.7,22.9,18.8800047,16.36621131,17.60835571,82.38574335,,,,
C1c,20,3,C,7,35,1.484,87.7,22.9,18.8800047,16.36621131,17.60835571,82.38574335,,,,
C1c,20,4,C,6,32,1.375,87.7,22.9,18.8800047,16.36621131,17.60835571,82.38574335,,,,
C2a,40,1,A,10,102,1.196,85.7,21.8,30.23262679,21.38513314,21.72167444,78.26356498,,,,
C2a,40,2,A,9,92,1.426,85.7,21.8,30.2326268,21.38513314,21.72167444,78.26356498,,,,
C2a,40,3,A,3,8,0.9003,85.7,21.8,30.2326268,21.38513314,21.72167444,78.26356498,, ,,
C2c,40,1,C,4,47,0.986,81.2,22.6,37.57235676,11.78381571,12.92675724,86.05729474,,,,
C2c,40,2,C,7,32,1.355,81.2,22.6,37.5723568,11.78381571,12.92675724,86.05729478,,,,
C2c,40,3,C,6,39,1.275,81.2,22.6,37.5723568,11.78381571,12.92675724,86.05729478,,,,
C2c,40,4,C,8,44,1.331,81.2,22.6,37.5723568,11.78381571,12.92675724,86.05729478,,,,
C3a,60,1,A,7,104,1.443,78,23.6,43.44141271,11.70564611,13.89381054,86.10618946,,,,
C3a,60,2,A,7,35,1.058,78,23.6,43.44141271,11.70564611,13.89381054,86.10618946,,,,
C3a,60,3,A,6,12,1.705,78,23.6,43.44141271,11.70564611,13.89381054,86.10618946,,,,
C3a,60,4,A,6,37,1.357,78,23.6,43.44141271,11.70564611,13.89381054,86.10618946,,,,
C3b,60,1,B,5,28,0.7858,82.9,22.3,49.4419,11.7093,12.5302793,87.4698716,,,,
C3b,60,2,B,4,7,1.154,82.9,22.3,49.4419,11.7093,12.5302793,87.4698716,,,,
C3b,60,3,B,8,15,1.807,82.9,22.3,49.4419,11.7093,12.5302793,87.4698716,,,,
C3b,60,4,B,6,31,1.466,82.9,22.3,49.4419,11.7093,12.5302793,87.4698716,,,,
C3c,60,1,C,5,45,1.002,77.4,24,56.3929099,8.82717873,9.858197932,83.20236337,,,,
C3c,60,2,C,,,,77.4,24,56.3929099,8.82717873,9.858197932,83.20236337,,,,
C3c,60,3,C,,,,77.4,24,56.3929099,8.82717873,9.858197932,83.20236337,,,,
C3c,60,4,C,,,,77.4,24,56.3929099,8.82717873,9.858197932,83.20236337,,,,
